Beograd|Mali Pozarevac|50|0.50|100|1.00|150|1.50|310|2.50|630|5.00
Mali Pozarevac|Umcari|60|0.50|120|1.00|190|1.50|370|3.00|760|6.50
Umcari|Vodanj|70|0.50|140|1.00|220|2.00|440|3.50|890|7.50
Vodanj|Kolari|90|1.00|170|1.50|250|2.00|510|4.00|1010|8.50
Kolari|Smederevo|100|1.00|190|1.50|290|2.50|570|4.50|1140|9.50
Smederevo|Pozarevac|100|1.00|200|1.50|300|2.50|590|5.00|1190|10.00
Pozarevac|Velika Plana|150|1.50|300|2.50|450|3.50|890|7.50|1790|15.00
Velika Plana|Markovac|170|1.50|340|3.00|520|4.50|1020|8.50|2060|17.00
Markovac|Lapovo|180|1.50|360|3.00|550|4.50|1100|9.00|2210|18.50
Lapovo|Batocina|200|1.50|390|3.00|570|4.50|1140|9.50|2300|19.00
Batocina|Jagodina|230|2.00|450|3.50|690|5.50|1390|11.50|2750|23.00
Jagodina|Cuprija|260|2.00|510|4.00|760|6.50|1510|12.50|3040|25.50
Cuprija|Paracin|270|2.00|540|4.50|810|6.50|1630|13.50|3270|27.00
Paracin|Pojate|290|2.50|580|5.00|880|7.50|1760|14.50|3530|29.50
Pojate|Razanj|320|2.50|640|5.50|960|8.00|1900|16.00|3820|31.50
Razanj|Aleksinacki Rudnici|350|3.00|700|6.00|1070|9.00|2110|17.50|4250|35.50
Aleksinacki Rudnici|Aleksinac|370|3.00|730|6.00|1090|9.00|2170|18.00|4360|36.00
Aleksinac|Nis|400|3.50|800|6.50|1210|10.00|2410|20.00|4830|40.00
Simanovci|Pecinci|40|0.50|80|0.50|110|1.00|220|2.00|440|3.50
Pecinci|Ruma|70|0.50|130|1.00|200|1.50|390|3.00|770|6.50
Ruma|Sremska Mitrovica|100|1.00|190|1.50|290|2.50|550|4.50|1100|9.00
Sremska Mitrovica|Kuzmin|140|1.00|280|2.50|430|3.50|840|7.00|1670|14.00
Kuzmin|Adasevci/Morovic|170|1.50|340|3.00|520|4.50|1010|8.50|2020|17.00
Adasevci/Morovic|Sid|190|1.50|370|3.00|570|4.50|1130|9.50|2260|19.00
Stara Pazova|Indjija|40|0.50|70|0.50|100|1.00|200|1.50|390|3.00
Indjija|Maradik|40|0.50|80|0.50|120|1.00|240|2.00|500|4.00
Maradik|Beska|50|0.50|100|1.00|140|1.00|300|2.50|580|5.00
Beska|Kovilj|70|0.50|140|1.00|220|2.00|430|3.50|870|7.00
Kovilj|Novi Sad|110|1.00|210|1.50|320|2.50|630|5.00|1250|10.50
Novi Sad|Zmajevo|140|1.00|270|2.00|410|3.50|810|6.50|1620|13.50
Zmajevo|Vrbas|160|1.50|320|2.50|480|4.00|950|8.00|1900|16.00
Vrbas|Feketic|180|1.50|360|3.00|530|4.50|1060|9.00|2120|17.50
Feketic|Backa Topola|220|2.00|430|3.50|650|5.50|1290|10.50|2570|21.50
Backa Topola|Zednik|240|2.00|480|4.00|720|6.00|1420|12.00|2840|23.50
Zednik|Subotica|280|2.50|560|4.50|840|7.00|1670|14.00|3340|27.50
Nis|Doljevac, Doljevac Selo, Brestovac|110|1.00|210|1.50|320|2.50|630|5.00|1260|10.50
Nis|Presevo|40|0.50|80|0.50|120|1.00|240|2.00|480|4.00
Nis|Dimitrovgrad|90|1.00|190|1.50|280|2.50|560|4.50|1120|9.50
Ljig|Takovo|40|0.50|70|0.50|110|1.00|220|2.00|440|3.50
Takovo|Preljine|70|0.50|140|1.00|220|2.00|440|3.50|880|7.50
